,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
0,0,0,1,25,7,0
1,0,0,2,34,5,0
2,0,0,3,5,18,0
3,1,3,0,31,10,0
4,1,3,1,14,10,0
5,1,3,2,14,17,0
6,2,0,1,32,13,0
7,2,0,2,41,4,0
8,2,0,3,3,7,0
9,3,1,0,17,8,0
10,3,1,2,24,6,0
11,3,1,3,24,13,0
12,4,1,0,19,6,0
13,4,1,2,25,7,0
14,4,1,3,12,11,0
15,5,0,1,27,11,0
16,5,0,2,34,10,0
17,5,0,3,4,18,0
18,6,1,0,27,11,0
19,6,1,2,27,10,0
20,6,1,3,4,16,0
21,7,0,1,11,10,0
22,7,0,2,9,8,0
23,7,0,3,4,13,0
24,8,1,0,24,12,0
25,8,1,2,29,11,0
26,8,1,3,12,14,0
27,9,1,0,14,17,0
28,9,1,2,4,5,0
29,9,1,3,8,9,0
30,10,0,1,27,9,0
31,10,0,2,12,11,0
32,10,0,3,29,8,0
33,11,0,1,17,7,0
34,11,0,2,10,15,0
35,11,0,3,8,13,0
36,12,1,0,7,15,0
37,12,1,2,28,5,0
38,12,1,3,3,9,0
39,13,1,0,13,11,0
40,13,1,2,39,8,0
41,13,1,3,24,6,0
42,14,2,0,9,18,3
43,14,2,1,35,4,0
44,14,2,3,6,14,0
45,15,3,0,25,11,0
46,15,3,1,21,13,0
47,15,3,2,20,11,0
48,16,3,0,20,8,0
49,16,3,1,34,10,0
50,16,3,2,18,9,0
51,17,2,0,15,10,0
52,17,2,1,11,13,0
53,17,2,3,23,5,0
54,18,0,1,31,12,0
55,18,0,2,16,7,0
56,18,0,3,13,13,0
57,19,1,0,35,12,0
58,19,1,2,37,7,0
59,19,1,3,3,14,0
60,20,0,1,8,13,0
61,20,0,2,11,16,0
62,20,0,3,7,3,0
63,21,1,0,28,12,0
64,21,1,2,11,11,0
65,21,1,3,21,7,0
66,22,0,1,10,5,0
67,22,0,2,11,13,0
68,22,0,3,7,12,0
69,23,3,0,11,14,0
70,23,3,1,20,5,0
71,23,3,2,17,14,0
72,24,0,1,28,5,0
73,24,0,2,11,15,0
74,24,0,3,5,13,0
75,25,3,0,26,12,0
76,25,3,1,37,11,0
77,25,3,2,10,10,0
78,26,2,0,18,13,0
79,26,2,1,16,10,0
80,26,2,3,12,9,0
81,27,0,1,11,14,0
82,27,0,2,34,10,0
83,27,0,3,34,8,0
84,28,1,0,16,9,0
85,28,1,2,29,9,0
86,28,1,3,12,12,0
87,29,1,0,36,13,0
88,29,1,2,12,8,0
89,29,1,3,12,4,0
90,30,2,0,30,11,0
91,30,2,1,32,11,0
92,30,2,3,21,8,0
93,31,1,0,38,15,0
94,31,1,2,5,9,0
95,31,1,3,38,5,0
96,32,2,0,22,11,0
97,32,2,1,25,11,0
98,32,2,3,18,15,0
99,33,1,0,30,13,0
100,33,1,2,20,4,0
101,33,1,3,8,8,0
102,34,2,0,28,10,0
103,34,2,1,5,9,0
104,34,2,3,11,10,0
105,35,3,0,18,14,0
106,35,3,1,15,10,0
107,35,3,2,24,12,0
108,36,2,0,15,13,0
109,36,2,1,14,12,0
110,36,2,3,31,6,0
111,37,0,1,26,5,0
112,37,0,2,9,7,0
113,37,0,3,8,11,0
114,38,3,0,27,10,0
115,38,3,1,14,15,0
116,38,3,2,44,6,0
117,39,1,0,36,14,0
118,39,1,2,15,12,0
119,39,1,3,26,1,0
120,40,0,1,16,13,0
121,40,0,2,18,13,0
122,40,0,3,8,8,0
123,41,1,0,18,6,0
124,41,1,2,38,6,0
125,41,1,3,18,16,0
126,42,2,0,26,11,0
127,42,2,1,17,19,0
128,42,2,3,7,4,0
129,43,0,1,26,12,0
130,43,0,2,27,12,0
131,43,0,3,11,12,0
132,44,1,0,9,14,0
133,44,1,2,35,8,0
134,44,1,3,12,14,0
135,45,0,1,14,14,0
136,45,0,2,41,4,0
137,45,0,3,19,11,0
138,46,1,0,19,8,0
139,46,1,2,10,16,0
140,46,1,3,48,7,0
141,47,1,0,26,11,0
142,47,1,2,34,7,0
143,47,1,3,9,8,0
144,48,3,0,6,15,0
145,48,3,1,15,10,0
146,48,3,2,21,7,0
147,49,0,1,32,8,0
148,49,0,2,13,10,0
149,49,0,3,4,14,0
150,50,3,0,14,9,0
151,50,3,1,30,2,0
152,50,3,2,19,16,0
153,51,2,0,33,8,0
154,51,2,1,8,8,0
155,51,2,3,13,9,0
156,52,0,1,35,11,0
157,52,0,2,11,12,0
158,52,0,3,2,7,0
159,53,0,1,23,13,0
160,53,0,2,22,14,0
161,53,0,3,6,7,0
162,54,3,0,32,10,0
163,54,3,1,26,12,0
164,54,3,2,11,10,0
165,55,2,0,17,15,0
166,55,2,1,17,12,0
167,55,2,3,6,15,0
168,56,1,0,38,9,0
169,56,1,2,13,12,0
170,56,1,3,16,9,0
171,57,2,0,10,16,0
172,57,2,1,20,9,0
173,57,2,3,12,8,0
174,58,2,0,44,11,0
175,58,2,1,13,11,0
176,58,2,3,2,3,0
177,59,1,0,37,11,0
178,59,1,2,20,10,0
179,59,1,3,7,15,0
180,60,1,0,38,12,0
181,60,1,2,10,18,10
182,60,1,3,21,3,0
183,61,2,0,6,5,0
184,61,2,1,17,13,0
185,61,2,3,14,13,0
186,62,2,0,10,13,0
187,62,2,1,20,8,0
188,62,2,3,25,12,0
189,63,2,0,25,11,0
190,63,2,1,25,9,0
191,63,2,3,8,7,0
192,64,1,0,31,12,0
193,64,1,2,20,8,0
194,64,1,3,5,12,0
195,65,1,0,42,11,0
196,65,1,2,11,10,0
197,65,1,3,10,7,0
198,66,2,0,31,6,0
199,66,2,1,20,9,0
200,66,2,3,18,13,0
201,67,3,0,5,11,0
202,67,3,1,17,8,0
203,67,3,2,26,15,0
204,68,2,0,25,8,0
205,68,2,1,21,12,0
206,68,2,3,7,12,0
207,69,2,0,26,10,0
208,69,2,1,43,9,0
209,69,2,3,11,7,0
210,70,1,0,23,7,0
211,70,1,2,8,12,0
212,70,1,3,10,9,0
213,71,3,0,5,14,0
214,71,3,1,28,11,0
215,71,3,2,9,16,0
216,72,0,1,12,14,0
217,72,0,2,11,5,0
218,72,0,3,5,14,0
219,73,2,0,31,13,0
220,73,2,1,16,15,0
221,73,2,3,4,8,0
222,74,1,0,13,16,0
223,74,1,2,30,7,0
224,74,1,3,25,12,0
225,75,2,0,34,13,0
226,75,2,1,23,12,0
227,75,2,3,13,7,0
228,76,0,1,31,8,0
229,76,0,2,19,11,0
230,76,0,3,12,14,0
231,77,3,0,4,7,0
232,77,3,1,45,6,0
233,77,3,2,29,15,0
234,78,2,0,16,14,0
235,78,2,1,18,11,0
236,78,2,3,38,9,0
237,79,2,0,18,9,0
238,79,2,1,18,15,0
239,79,2,3,11,12,0
,80,3,0,31,6,0
,80,3,1,24,9,0
,80,3,2,10,14,0
,81,0,1,17,15,0
,81,0,2,23,9,0
,81,0,3,3,11,0
,82,2,0,20,15,0
,82,2,1,32,9,0
,82,2,3,8,11,0
,83,2,0,31,15,0
,83,2,1,44,10,0
,83,2,3,5,9,0
,84,0,1,26,14,0
,84,0,2,11,9,0
,84,0,3,23,5,0
,85,2,0,19,9,0
,85,2,1,16,16,0
,85,2,3,24,9,0
,86,0,1,41,10,0
,86,0,2,15,13,0
,86,0,3,5,11,0
,87,1,0,35,4,0
,87,1,2,30,8,0
,87,1,3,24,12,0
,88,3,0,19,4,0
,88,3,1,26,10,0
,88,3,2,27,13,0
,89,0,1,23,9,0
,89,0,2,12,11,0
,89,0,3,27,6,0
,90,2,0,26,5,0
,90,2,1,27,11,0
,90,2,3,23,10,0
,91,3,0,13,12,0
,91,3,1,16,14,0
,91,3,2,35,8,0
,92,3,0,24,8,0
,92,3,1,19,9,0
,92,3,2,24,10,0
,93,1,0,28,12,0
,93,1,2,30,9,0
,93,1,3,3,10,0
,94,3,0,10,15,0
,94,3,1,16,15,0
,94,3,2,22,10,0
,95,1,0,18,13,0
,95,1,2,22,5,0
,95,1,3,8,11,0
,96,2,0,18,15,0
,96,2,1,35,10,0
,96,2,3,11,11,0
,97,0,1,21,8,0
,97,0,2,23,14,0
,97,0,3,43,11,0
,98,1,0,13,12,0
,98,1,2,25,8,0
,98,1,3,13,10,0
,99,2,0,21,9,0
,99,2,1,31,10,0
,99,2,3,13,8,0
,100,0,1,9,13,0
,100,0,2,34,8,0
,100,0,3,9,10,0
,101,0,1,31,7,0
,101,0,2,7,12,0
,101,0,3,5,12,0
,102,2,0,21,13,0
,102,2,1,37,9,0
,102,2,3,8,6,0
,103,1,0,39,12,0
,103,1,2,14,9,0
,103,1,3,6,10,0
,104,0,1,19,12,0
,104,0,2,25,6,0
,104,0,3,5,12,0
,105,3,0,10,10,0
,105,3,1,20,12,0
,105,3,2,36,11,0
,106,2,0,10,14,0
,106,2,1,34,8,0
,106,2,3,7,14,0
,107,0,1,18,12,0
,107,0,2,24,8,0
,107,0,3,1,20,1
,108,2,0,34,12,0
,108,2,1,26,12,0
,108,2,3,11,12,0
,109,3,0,19,11,0
,109,3,1,36,9,0
,109,3,2,9,10,0
,110,0,1,20,9,0
,110,0,2,14,11,0
,110,0,3,4,8,0
,111,0,1,14,9,0
,111,0,2,13,11,0
,111,0,3,4,12,0
,112,3,0,17,9,0
,112,3,1,20,13,0
,112,3,2,14,10,0
